,종목코드,종목명,시간,종가,대비,시가,고가,저가,매도호가,매수호가,거래량,거래대금,예상체결가 구분 플래그,예상체결가,예상체결가 전일대비,예상체결수량
391,A009200,무림페이퍼,1555,2830,20,2815,2860,2815,2830,2825,86311,24496,50,2830,20.0,560
392,A009240,한샘,1545,119500,-3500,120000,121000,118000,119500,119000,168222,2003457,50,119500,-3500.0,3616
393,A009270,신원,1559,2865,660,2215,2865,2130,0,2865,92667779,25156117,50,2865,660.0,158480
394,A009275,신원우,1546,56800,10100,46600,60000,46350,56900,56800,20768,118046,50,56800,10100.0,3130
395,A009290,광동제약,1556,8120,-30,8110,8190,8080,8130,8120,75412,61224,50,8120,-30.0,1584
396,A009310,참엔지니어링,1530,1385,10,1375,1395,1365,1385,1375,107627,14814,50,1385,10.0,2431
397,A009320,대우부품,1530,2420,30,2415,2460,2400,2425,2420,224337,54477,50,2420,30.0,5487
398,A009410,태영건설,1548,11500,0,11550,11650,11300,11550,11500,76407,87596,50,11500,0.0,16091
399,A009415,태영건설우,1530,14150,-200,14400,14400,14100,14250,14150,4427,6286,50,14150,-200.0,100
400,A009420,한올바이오파마,1559,22250,-450,22900,22950,22200,22300,22250,352506,791785,50,22250,-450.0,5318
401,A009440,KC그린홀딩스,1530,5550,-10,5560,5710,5510,5590,5550,77975,43906,50,5550,-10.0,3331
402,A009450,경동나비엔,1550,63500,-800,64500,65300,63500,64200,63500,36528,235255,50,63500,-800.0,3829
403,A009460,한창제지,1549,2155,5,2145,2185,2115,2155,2150,377215,80929,50,2155,5.0,3674
404,A009470,삼화전기,1553,30850,-800,31650,32200,30550,30900,30850,85188,266766,50,30850,-800.0,2081
405,A009540,한국조선해양,1556,102000,1000,102500,103000,100000,102500,102000,396061,4031090,50,102000,1000.0,13272
406,A009580,무림P&P,1546,4495,0,4515,4560,4495,4500,4495,53696,24280,50,4495,0.0,1850
407,A009680,모토닉,1530,11350,50,11700,11700,11250,11400,11350,35123,39925,50,11350,50.0,542
408,A009770,삼정펄프,1530,32150,450,31700,32500,31550,32150,32000,3556,11309,50,32150,450.0,51
409,A009810,엔케이물산,1559,1670,-40,1715,1720,1605,1675,1670,4741698,789367,50,1670,-40.0,46124
410,A009830,한화솔루션,1559,40750,-1350,42150,42300,40700,40800,40750,1123087,4634464,50,40750,-1350.0,36460
411,A009835,한화솔루션우,1544,46100,-700,46400,47400,46050,46400,46100,2791,12951,50,46100,-700.0,118
412,A009900,명신산업,1557,27450,100,27500,27800,27300,27500,27450,439141,1207258,50,27450,100.0,6742
413,A009970,영원무역홀딩스,1530,47500,-400,47550,47750,47250,47500,47350,5881,27890,50,47500,-400.0,139
414,A010040,한국내화,1559,4380,200,4180,4595,4150,4380,4375,589288,260641,50,4380,200.0,11266
415,A010050,우리종금,1558,888,-8,896,904,888,890,888,3136932,280688,50,888,-8.0,58485
416,A010060,OCI,1558,138500,-4500,142000,144500,136000,139000,138500,460215,6395069,50,138500,-4500.0,8247
417,A010100,한국프랜지,1543,3040,50,2990,3065,2990,3040,3025,109048,32916,50,3040,50.0,2532
418,A010120,LS ELECTRIC,1554,67600,-800,68400,69900,66900,67600,67500,92314,627382,50,67600,-800.0,1383
419,A010130,고려아연,1544,512000,2000,512000,517000,509000,512000,511000,36687,1884161,50,512000,2000.0,1296
420,A010140,삼성중공업,1555,6140,-60,6230,6230,6090,6140,6130,2668770,1639113,50,6140,-60.0,111824
421,A010145,삼성중공우,1530,264500,4000,261500,265500,261500,265000,264500,706,18695,50,264500,4000.0,32
